facility,candidate_monitoring_site,score,candidate_class,recommended_role,review_decision,review_notes,promote_to_validated
Eastcroft EfW,Nottingham Centre,100,high_confidence_official_candidate,review_for_validated_overlay,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Devonport Dockyard,Plymouth Centre - UKA00360,98,high_confidence_official_candidate,review_for_validated_overlay,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Crossness Sludge Plant,Bexley - Slade Green,95,high_confidence_official_candidate,review_for_validated_overlay,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Marchwood ERF,Southampton Centre - UKA00235,95,high_confidence_official_candidate,review_for_validated_overlay,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Teesside EfW,Middlesbrough - UKA00220,95,high_confidence_official_candidate,review_for_validated_overlay,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
CSWDC Coventry,Coventry Allesley - UKA00592,93,high_confidence_official_candidate,review_for_validated_overlay,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Portsmouth ERF,Portsmouth Background AURN,93,high_confidence_official_candidate,review_for_validated_overlay,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Stoke EfW,Stoke-on-Trent Centre - UKA00337,93,high_confidence_official_candidate,review_for_validated_overlay,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Beddington ERF,Sutton - Beddington Lane north,87,high_confidence_official_candidate,review_for_validated_overlay,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Red Moss Landfill,Manchester Piccadilly - UKA00248,87,high_confidence_official_candidate,review_for_validated_overlay,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Bolton WtE,Glazebury - UKA00170,85,high_confidence_official_candidate,review_for_validated_overlay,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Lakeside EfW,London Hillingdon - UKA00266,85,high_confidence_official_candidate,review_for_validated_overlay,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Westfield Incinerator,Charlton Mackrell - UKA00537,85,high_confidence_official_candidate,review_for_validated_overlay,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Exeter ERF,Exeter Roadside - UKA00263,81,high_confidence_official_candidate,roadside_context,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Allerton Waste Recovery Park,Leeds Centre - UKA00222,80,high_confidence_official_candidate,review_for_validated_overlay,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Fawley Incinerator,Southampton Centre - UKA00235,80,high_confidence_official_candidate,review_for_validated_overlay,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Ferrybridge MF2,Leeds Centre - UKA00222,80,high_confidence_official_candidate,review_for_validated_overlay,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Glanford PS,Scunthorpe Town - UKA00381,80,high_confidence_official_candidate,review_for_validated_overlay,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Dudley EfW,Oldbury Birmingham Road - UKA00595,79,local_or_official_candidate_needs_review,local_official_review,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Ardley ERF,Oxford St Ebbes,78,local_or_official_candidate_needs_review,local_official_review,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Lincoln ERF,Lincoln Canwick Road - UKA00561,75,local_or_official_candidate_needs_review,local_official_review,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Wolverhampton EfW,Oldbury Birmingham Road - UKA00595,72,local_or_official_candidate_needs_review,local_official_review,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Chineham EfW,Chilbolton Observatory - UKA00614,69,local_or_official_candidate_needs_review,local_official_review,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Isle of Wight Gasification,Southampton Centre - UKA00235,69,local_or_official_candidate_needs_review,local_official_review,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Kirklees EfW,Barnsley Gawber - UKA00353,69,local_or_official_candidate_needs_review,local_official_review,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Allington Quarry Waste Management Facility,Chatham Roadside - UKA00553,61,local_or_official_candidate_needs_review,roadside_context,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Hartlebury EfW,Oldbury Birmingham Road - UKA00595,61,local_or_official_candidate_needs_review,local_official_review,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Newlincs EfW,Hull Freetown - UKA00450,59,plausible_candidate_needs_review,regional_context_review,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Greatmoor EfW,Oxford St Ebbes,57,plausible_candidate_needs_review,regional_context_review,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
North Hykeham Incinerator,Lincoln Canwick Road - UKA00561,55,plausible_candidate_needs_review,regional_context_review,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Shrewsbury Incinerator,"Shrewsbury, UK",54,plausible_candidate_needs_review,regional_context_review,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Gloucestershire Javelin Park,Chepstow A48,51,plausible_candidate_needs_review,regional_context_review,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Milton Keynes WRP,Milton Keynes,49,plausible_candidate_needs_review,regional_context_review,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Great Blakenham EfW,Sibton - UKA00012,47,plausible_candidate_needs_review,regional_context_review,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
Peterborough ERF,"Crowland, lincolnshire",42,supporting_context_community_sensor,supporting_only,pending_review,"Check station type, geography, pollutant coverage, provider and suitability before public validation.",no
