"bytes","date_uk","error","http_status","notes","output_path","query","record_count","retrieved_at_uk","retrieved_at_utc","run_ts","sha256","source_name","source_type","status","url"
"0","26/05/2026","","","disabled by AQ26_NEWSAPI_ENABLED","","provider_disabled","0","2026-05-26T14:57:49.284034+01:00","2026-05-26T13:57:49.284034+00:00","20260526T135749Z","","NewsAPI everything","news_api","skipped","newsapi://disabled"
"0","26/05/2026","","","disabled by AQ26_NEWSDATA_ENABLED","","provider_disabled","0","2026-05-26T14:57:49.284982+01:00","2026-05-26T13:57:49.284982+00:00","20260526T135749Z","","NewsData.io news","news_api","skipped","newsdata://disabled"
"2","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/03_news_context/raw/gdelt_Newhaven_Energy_Recovery_Facility_Veolia_20260526T135749Z.json","Newhaven Energy Recovery Facility Veolia","0","2026-05-26T14:58:30.125628+01:00","2026-05-26T13:58:30.125628+00:00","20260526T135749Z","44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a","GDELT document API","news_api","ok","https://api.gdeltproject.org/api/v2/doc/doc?query=Newhaven+Energy+Recovery+Facility+Veolia&mode=ArtList&format=json&maxrecords=50&sort=HybridRel"
"102","26/05/2026","Please limit requests to one every 5 seconds or contact kalev.leetaru5@gmail.com for larger queries.

","429","non-critical warning","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/03_news_context/raw/gdelt_Newhaven_incinerator_emissions_20260526T135749Z.json","Newhaven incinerator emissions","0","2026-05-26T14:59:13.446984+01:00","2026-05-26T13:59:13.446984+00:00","20260526T135749Z","e97dcd299a411214ad1fa5ae3b944719c65c34a6c9f0e2aed7eafb61532b5da1","GDELT document API","news_api_warning","warning","https://api.gdeltproject.org/api/v2/doc/doc?query=Newhaven+incinerator+emissions&mode=ArtList&format=json&maxrecords=50&sort=HybridRel"
"1952","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/04_ground_aq_providers/raw/waqi_newhaven_incinerator_20260526T135749Z.json","newhaven_incinerator","0","2026-05-26T14:59:14.232709+01:00","2026-05-26T13:59:14.232709+00:00","20260526T135749Z","870d1530844026c2b25473e8d66347b43a9826208c047394f3d29a65abfb41eb","WAQI geospatial feed","ground_aq","ok","https://api.waqi.info/feed/geo:50.796;0.055/?token=***REDACTED***"
"509","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/05_weather/raw/openweather_current_newhaven_incinerator_20260526T135749Z.json","newhaven_incinerator","0","2026-05-26T14:59:14.350788+01:00","2026-05-26T13:59:14.350788+00:00","20260526T135749Z","e7b578108f03087b5ffec28266bc12b8ec81d8083ee8814aee7186e103bcba41","OpenWeather current weather","weather","ok","https://api.openweathermap.org/data/2.5/weather?lat=50.796&lon=0.055&appid=6dd68522123c97934487c2a593566e73&units=metric"
"189","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/04_ground_aq_providers/raw/openweather_airpollution_newhaven_incinerator_20260526T135749Z.json","newhaven_incinerator","1","2026-05-26T14:59:14.531602+01:00","2026-05-26T13:59:14.531602+00:00","20260526T135749Z","bd9e98198c02ec6a89c368c7b41f4245b1f7939beee16046b742da8ae0a7c7a6","OpenWeather air pollution","ground_aq","ok","https://api.openweathermap.org/data/2.5/air_pollution?lat=50.796&lon=0.055&appid=6dd68522123c97934487c2a593566e73"
"1952","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/04_ground_aq_providers/raw/waqi_lewes_20260526T135749Z.json","lewes","0","2026-05-26T14:59:15.154625+01:00","2026-05-26T13:59:15.154625+00:00","20260526T135749Z","870d1530844026c2b25473e8d66347b43a9826208c047394f3d29a65abfb41eb","WAQI geospatial feed","ground_aq","ok","https://api.waqi.info/feed/geo:50.873;0.008/?token=***REDACTED***"
"506","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/05_weather/raw/openweather_current_lewes_20260526T135749Z.json","lewes","0","2026-05-26T14:59:15.254784+01:00","2026-05-26T13:59:15.254784+00:00","20260526T135749Z","0f2c9626180494deaca99ebca420b15987b26657df5c078cc9f9892839172b33","OpenWeather current weather","weather","ok","https://api.openweathermap.org/data/2.5/weather?lat=50.873&lon=0.008&appid=6dd68522123c97934487c2a593566e73&units=metric"
"189","26/05/2026","","200","","/home/runner/work/AirQuality26_v2/AirQuality26_v2/outputs/10_historical_backfill/week_2024-07-22_2024-07-29/04_ground_aq_providers/raw/openweather_airpollution_lewes_20260526T135749Z.json","lewes","1","2026-05-26T14:59:15.434736+01:00","2026-05-26T13:59:15.434736+00:00","20260526T135749Z","ed322ecd05ad173a48b81e6f908d544ecdb334ed1287c5f6d05971ac271b9c80","OpenWeather air pollution","ground_aq","ok","https://api.openweathermap.org/data/2.5/air_pollution?lat=50.873&lon=0.008&appid=6dd68522123c97934487c2a593566e73"
