"@SiteCode","@SiteName","@SiteType","@Latitude","@Longitude","@LatitudeWGS84","@LongitudeWGS84","@SiteLink","@DataOwner","@DataManager","_tag","@SpeciesCode","@SpeciesDescription","@Year","@ObjectiveName","@Value","@Achieved"
"A30","Kingston - Kingston Bypass A3","Roadside","51.373553348648","-0.291969827871431","6687638.8951","-32501.9325656","http://www.londonair.org.uk/london/asp/publicstats.asp?site=A30","Kingston","King's College London","Site","","","","","",""
"","","","","","","","","","","Objective","CO","Carbon Monoxide","1997","10 mg/m3 as a maximum daily running 8 hour mean","0","YES"
"","","","","","","","","","","Objective","CO","Carbon Monoxide","1998","10 mg/m3 as a maximum daily running 8 hour mean","0","YES"
"","","","","","","","","","","Objective","CO","Carbon Monoxide","1999","10 mg/m3 as a maximum daily running 8 hour mean","0","YES"
"","","","","","","","","","","Objective","CO","Carbon Monoxide","2000","10 mg/m3 as a maximum daily running 8 hour mean","0","YES"
"","","","","","","","","","","Objective","CO","Carbon Monoxide","2001","10 mg/m3 as a maximum daily running 8 hour mean","0","YES"
"","","","","","","","","","","Objective","CO","Carbon Monoxide","2002","10 mg/m3 as a maximum daily running 8 hour mean","0","YES"
"","","","","","","","","","","Objective","CO","Carbon Monoxide","2003","10 mg/m3 as a maximum daily running 8 hour mean","0","YES"
"","","","","","","","","","","Objective","CO","Carbon Monoxide","2004","10 mg/m3 as a maximum daily running 8 hour mean","0","YES"
"","","","","","","","","","","Objective","CO","Carbon Monoxide","2005","10 mg/m3 as a maximum daily running 8 hour mean","0","YES"
"","","","","","","","","","","Objective","CO","Carbon Monoxide","2006","10 mg/m3 as a maximum daily running 8 hour mean","0","YES"
"","","","","","","","","","","Objective","CO","Carbon Monoxide","2007","10 mg/m3 as a maximum daily running 8 hour mean","0","YES"
"","","","","","","","","","","Objective","CO","Carbon Monoxide","1997","Capture Rate (%)","74","YES"
"","","","","","","","","","","Objective","CO","Carbon Monoxide","1998","Capture Rate (%)","89","YES"
"","","","","","","","","","","Objective","CO","Carbon Monoxide","1999","Capture Rate (%)","97","YES"
"","","","","","","","","","","Objective","CO","Carbon Monoxide","2000","Capture Rate (%)","97","YES"
"","","","","","","","","","","Objective","CO","Carbon Monoxide","2001","Capture Rate (%)","98","YES"
"","","","","","","","","","","Objective","CO","Carbon Monoxide","2002","Capture Rate (%)","93","YES"
"","","","","","","","","","","Objective","CO","Carbon Monoxide","2003","Capture Rate (%)","97","YES"
"","","","","","","","","","","Objective","CO","Carbon Monoxide","2004","Capture Rate (%)","97","YES"
"","","","","","","","","","","Objective","CO","Carbon Monoxide","2005","Capture Rate (%)","97","YES"
"","","","","","","","","","","Objective","CO","Carbon Monoxide","2006","Capture Rate (%)","98","YES"
"","","","","","","","","","","Objective","CO","Carbon Monoxide","2007","Capture Rate (%)","73","YES"
"","","","","","","","","","","Objective","DUST","PM10 (not reference equiv.)","2004","40 ug/m3 as an annual mean","26","YES"
"","","","","","","","","","","Objective","DUST","PM10 (not reference equiv.)","2005","40 ug/m3 as an annual mean","31","YES"
"","","","","","","","","","","Objective","DUST","PM10 (not reference equiv.)","2006","40 ug/m3 as an annual mean","34","YES"
"","","","","","","","","","","Objective","DUST","PM10 (not reference equiv.)","2007","40 ug/m3 as an annual mean","32","YES"
"","","","","","","","","","","Objective","DUST","PM10 (not reference equiv.)","2004","50 ug/m3 as a 24 hour mean, not to be exceeded more than 35 times a year","11","YES"
"","","","","","","","","","","Objective","DUST","PM10 (not reference equiv.)","2005","50 ug/m3 as a 24 hour mean, not to be exceeded more than 35 times a year","20","YES"
"","","","","","","","","","","Objective","DUST","PM10 (not reference equiv.)","2006","50 ug/m3 as a 24 hour mean, not to be exceeded more than 35 times a year","30","YES"
"","","","","","","","","","","Objective","DUST","PM10 (not reference equiv.)","2007","50 ug/m3 as a 24 hour mean, not to be exceeded more than 35 times a year","18","YES"
"","","","","","","","","","","Objective","DUST","PM10 (not reference equiv.)","2004","Capture Rate (%)","98","YES"
"","","","","","","","","","","Objective","DUST","PM10 (not reference equiv.)","2005","Capture Rate (%)","98","YES"
"","","","","","","","","","","Objective","DUST","PM10 (not reference equiv.)","2006","Capture Rate (%)","98","YES"
"","","","","","","","","","","Objective","DUST","PM10 (not reference equiv.)","2007","Capture Rate (%)","73","YES"
