"@SiteCode","@SpeciesCode","Data","@MeasurementDateGMT","@Value"
"MY1","NO2","[{""@MeasurementDateGMT"": ""2024-07-22 00:00:00"", ""@Value"": """"}, {""@MeasurementDateGMT"": ""2024-07-22 01:00:00"", ""@Value"": """"}, {""@MeasurementDateGMT"": ""2024-07-22 02:00:00"", ""@Value"": """"}, {""@MeasurementDateGMT"": ""2024-07-22 03:00:00"", ""@Value"": ""11.6""}, {""@MeasurementDateGMT"": ""2024-07-22 04:00:00"", ""@Value"": ""14""}, {""@MeasurementDateGMT"": ""2024-07-22 05:00:00"", ""@Value"": ""22.3""}, {""@MeasurementDateGMT"": ""2024-07-22 06:00:00"", ""@Value"": ""31.5""}, {""@MeasurementDateGMT"": ""2024-07-22 07:00:00"", ""@Value"": ""36.2""}, {""@MeasurementDateGMT"": ""2024-07-22 08:00:00"", ""@Value"": ""29.1""}, {""@MeasurementDateGMT"": ""2024-07-22 09:00:00"", ""@Value"": ""31.4""}, {""@MeasurementDateGMT"": ""2024-07-22 10:00:00"", ""@Value"": ""37.8""}, {""@MeasurementDateGMT"": ""2024-07-22 11:00:00"", ""@Value"": ""25.9""}, {""@MeasurementDateGMT"": ""2024-07-22 12:00:00"", ""@Value"": ""34""}, {""@MeasurementDateGMT"": ""2024-07-22 13:00:00"", ""@Value"": ""37""}, {""@MeasurementDateGMT"": ""2024-07-22 14:00:00"", ""@Value"": ""35.9""}, {""@MeasurementDateGMT"": ""2024-07-22 15:00:00"", ""@Value"": ""45.1""}, {""@MeasurementDateGMT"": ""2024-07-22 16:00:00"", ""@Value"": ""29.5""}, {""@MeasurementDateGMT"": ""2024-07-22 17:00:00"", ""@Value"": ""21""}, {""@MeasurementDateGMT"": ""2024-07-22 18:00:00"", ""@Value"": ""22.9""}, {""@MeasurementDateGMT"": ""2024-07-22 19:00:00"", ""@Value"": ""24.3""}, {""@MeasurementDateGMT"": ""2024-07-22 20:00:00"", ""@Value"": ""16.9""}, {""@MeasurementDateGMT"": ""2024-07-22 21:00:00"", ""@Value"": ""21.5""}, {""@MeasurementDateGMT"": ""2024-07-22 22:00:00"", ""@Value"": ""20""}, {""@MeasurementDateGMT"": ""2024-07-22 23:00:00"", ""@Value"": ""15.1""}, {""@MeasurementDateGMT"": ""2024-07-23 00:00:00"", ""@Value"": """"}, {""@MeasurementDateGMT"": ""2024-07-23 01:00:00"", ""@Value"": """"}, {""@MeasurementDateGMT"": ""2024-07-23 02:00:00"", ""@Value"": ""6.4""}, {""@MeasurementDateGMT"": ""2024-07-23 03:00:00"", ""@Value"": ""11.4""}, {""@MeasurementDateGMT"": ""2024-07-23 04:00:00"", ""@Value"": ""16""}, {""@MeasurementDateGMT"": ""2024-07-23 05:00:00"", ""@Value"": ""20.3""}, {""@MeasurementDateGMT"": ""2024-07-23 06:00:00"", ""@Value"": ""43.1""}, {""@MeasurementDateGMT"": ""2024-07-23 07:00:00"", ""@Value"": ""32.7""}, {""@MeasurementDateGMT"": ""2024-07-23 08:00:00"", ""@Value"": ""34.3""}, {""@MeasurementDateGMT"": ""2024-07-23 09:00:00"", ""@Value"": ""28.6""}, {""@MeasurementDateGMT"": ""2024-07-23 10:00:00"", ""@Value"": ""20.4""}, {""@MeasurementDateGMT"": ""2024-07-23 11:00:00"", ""@Value"": ""15.7""}, {""@MeasurementDateGMT"": ""2024-07-23 12:00:00"", ""@Value"": ""8.6""}, {""@MeasurementDateGMT"": ""2024-07-23 13:00:00"", ""@Value"": ""9.5""}, {""@MeasurementDateGMT"": ""2024-07-23 14:00:00"", ""@Value"": ""12.1""}, {""@MeasurementDateGMT"": ""2024-07-23 15:00:00"", ""@Value"": ""14.9""}, {""@MeasurementDateGMT"": ""2024-07-23 16:00:00"", ""@Value"": ""18.1""}, {""@MeasurementDateGMT"": ""2024-07-23 17:00:00"", ""@Value"": ""13.8""}, {""@MeasurementDateGMT"": ""2024-07-23 18:00:00"", ""@Value"": ""16.1""}, {""@MeasurementDateGMT"": ""2024-07-23 19:00:00"", ""@Value"": ""16.2""}, {""@MeasurementDateGMT"": ""2024-07-23 20:00:00"", ""@Value"": ""12.8""}, {""@MeasurementDateGMT"": ""2024-07-23 21:00:00"", ""@Value"": ""21""}, {""@MeasurementDateGMT"": ""2024-07-23 22:00:00"", ""@Value"": ""25""}, {""@MeasurementDateGMT"": ""2024-07-23 23:00:00"", ""@Value"": ""36.2""}, {""@MeasurementDateGMT"": ""2024-07-24 00:00:00"", ""@Value"": """"}, {""@MeasurementDateGMT"": ""2024-07-24 01:00:00"", ""@Value"": """"}, {""@MeasurementDateGMT"": ""2024-07-24 02:00:00"", ""@Value"": """"}, {""@MeasurementDateGMT"": ""2024-07-24 03:00:00"", ""@Value"": """"}, {""@MeasurementDateGMT"": ""2024-07-24 04:00:00"", ""@Value"": """"}, {""@MeasurementDateGMT"": ""2024-07-24 05:00:00"", ""@Value"": """"}, {""@MeasurementDateGMT"": ""2024-07-24 06:00:00"", ""@Value"": """"}, {""@MeasurementDateGMT"": ""2024-07-24 07:00:00"", ""@Value"": """"}, {""@MeasurementDateGMT"": ""2024-07-24 08:00:00"", ""@Value"": """"}, {""@MeasurementDateGMT"": ""2024-07-24 09:00:00"", ""@Value"": ""53.5""}, {""@MeasurementDateGMT"": ""2024-07-24 10:00:00"", ""@Value"": ""57.2""}, {""@MeasurementDateGMT"": ""2024-07-24 11:00:00"", ""@Value"": ""52.3""}, {""@MeasurementDateGMT"": ""2024-07-24 12:00:00"", ""@Value"": ""51""}, {""@MeasurementDateGMT"": ""2024-07-24 13:00:00"", ""@Value"": ""38.4""}, {""@MeasurementDateGMT"": ""2024-07-24 14:00:00"", ""@Value"": ""45.7""}, {""@MeasurementDateGMT"": ""2024-07-24 15:00:00"", ""@Value"": ""37.1""}, {""@MeasurementDateGMT"": ""2024-07-24 16:00:00"", ""@Value"": ""41.1""}, {""@MeasurementDateGMT"": ""2024-07-24 17:00:00"", ""@Value"": ""30.8""}, {""@MeasurementDateGMT"": ""2024-07-24 18:00:00"", ""@Value"": ""37.1""}, {""@MeasurementDateGMT"": ""2024-07-24 19:00:00"", ""@Value"": ""29.6""}, {""@MeasurementDateGMT"": ""2024-07-24 20:00:00"", ""@Value"": ""24.6""}, {""@MeasurementDateGMT"": ""2024-07-24 21:00:00"", ""@Value"": ""21""}, {""@MeasurementDateGMT"": ""2024-07-24 22:00:00"", ""@Value"": ""24.2""}, {""@MeasurementDateGMT"": ""2024-07-24 23:00:00"", ""@Value"": ""19.3""}, {""@MeasurementDateGMT"": ""2024-07-25 00:00:00"", ""@Value"": """"}, {""@MeasurementDateGMT"": ""2024-07-25 01:00:00"", ""@Value"": """"}, {""@MeasurementDateGMT"": ""2024-07-25 02:00:00"", ""@Value"": ""7.9""}, {""@MeasurementDateGMT"": ""2024-07-25 03:00:00"", ""@Value"": ""11.6""}, {""@MeasurementDateGMT"": ""2024-07-25 04:00:00"", ""@Value"": ""12.8""}, {""@MeasurementDateGMT"": ""2024-07-25 05:00:00"", ""@Value"": ""19.2""}, {""@MeasurementDateGMT"": ""2024-07-25 06:00:00"", ""@Value"": ""30.9""}, {""@MeasurementDateGMT"": ""2024-07-25 07:00:00"", ""@Value"": ""35.2""}, {""@MeasurementDateGMT"": ""2024-07-25 08:00:00"", ""@Value"": ""45.5""}, {""@MeasurementDateGMT"": ""2024-07-25 09:00:00"", ""@Value"": ""36""}, {""@MeasurementDateGMT"": ""2024-07-25 10:00:00"", ""@Value"": ""42.8""}, {""@MeasurementDateGMT"": ""2024-07-25 11:00:00"", ""@Value"": ""43.2""}, {""@MeasurementDateGMT"": ""2024-07-25 12:00:00"", ""@Value"": ""38.7""}, {""@MeasurementDateGMT"": ""2024-07-25 13:00:00"", ""@Value"": ""37.6""}, {""@MeasurementDateGMT"": ""2024-07-25 14:00:00"", ""@Value"": ""33.5""}, {""@MeasurementDateGMT"": ""2024-07-25 15:00:00"", ""@Value"": ""38.5""}, {""@MeasurementDateGMT"": ""2024-07-25 16:00:00"", ""@Value"": ""33.2""}, {""@MeasurementDateGMT"": ""2024-07-25 17:00:00"", ""@Value"": ""30.8""}, {""@MeasurementDateGMT"": ""2024-07-25 18:00:00"", ""@Value"": ""43""}, {""@MeasurementDateGMT"": ""2024-07-25 19:00:00"", ""@Value"": ""27.1""}, {""@MeasurementDateGMT"": ""2024-07-25 20:00:00"", ""@Value"": ""28.5""}, {""@MeasurementDateGMT"": ""2024-07-25 21:00:00"", ""@Value"": ""25.4""}, {""@MeasurementDateGMT"": ""2024-07-25 22:00:00"", ""@Value"": ""29.6""}, {""@MeasurementDateGMT"": ""2024-07-25 23:00:00"", ""@Value"": ""23.9""}, {""@MeasurementDateGMT"": ""2024-07-26 00:00:00"", ""@Value"": """"}, {""@MeasurementDateGMT"": ""2024-07-26 01:00:00"", ""@Value"": """"}, {""@MeasurementDateGMT"": ""2024-07-26 02:00:00"", ""@Value"": ""22""}, {""@MeasurementDateGMT"": ""2024-07-26 03:00:00"", ""@Value"": ""16.2""}, {""@MeasurementDateGMT"": ""2024-07-26 04:00:00"", ""@Value"": ""22.5""}, {""@MeasurementDateGMT"": ""2024-07-26 05:00:00"", ""@Value"": ""21.5""}, {""@MeasurementDateGMT"": ""2024-07-26 06:00:00"", ""@Value"": ""59.3""}, {""@MeasurementDateGMT"": ""2024-07-26 07:00:00"", ""@Value"": ""31.9""}, {""@MeasurementDateGMT"": ""2024-07-26 08:00:00"", ""@Value"": """"}, {""@MeasurementDateGMT"": ""2024-07-26 09:00:00"", ""@Value"": """"}, {""@MeasurementDateGMT"": ""2024-07-26 10:00:00"", ""@Value"": ""43.2""}, {""@MeasurementDateGMT"": ""2024-07-26 11:00:00"", ""@Value"": ""50.6""}, {""@MeasurementDateGMT"": ""2024-07-26 12:00:00"", ""@Value"": ""37.9""}, {""@MeasurementDateGMT"": ""2024-07-26 13:00:00"", ""@Value"": ""52.2""}, {""@MeasurementDateGMT"": ""2024-07-26 14:00:00"", ""@Value"": ""53""}, {""@MeasurementDateGMT"": ""2024-07-26 15:00:00"", ""@Value"": ""41.9""}, {""@MeasurementDateGMT"": ""2024-07-26 16:00:00"", ""@Value"": ""49.6""}, {""@MeasurementDateGMT"": ""2024-07-26 17:00:00"", ""@Value"": ""40.8""}, {""@MeasurementDateGMT"": ""2024-07-26 18:00:00"", ""@Value"": ""28""}, {""@MeasurementDateGMT"": ""2024-07-26 19:00:00"", ""@Value"": ""33.6""}, {""@MeasurementDateGMT"": ""2024-07-26 20:00:00"", ""@Value"": ""29.4""}, {""@MeasurementDateGMT"": ""2024-07-26 21:00:00"", ""@Value"": ""29.7""}, {""@MeasurementDateGMT"": ""2024-07-26 22:00:00"", ""@Value"": ""33.3""}, {""@MeasurementDateGMT"": ""2024-07-26 23:00:00"", ""@Value"": ""35.8""}]","",""
"","","","2024-07-22 00:00:00",""
"","","","2024-07-22 01:00:00",""
"","","","2024-07-22 02:00:00",""
"","","","2024-07-22 03:00:00","11.6"
"","","","2024-07-22 04:00:00","14"
"","","","2024-07-22 05:00:00","22.3"
"","","","2024-07-22 06:00:00","31.5"
"","","","2024-07-22 07:00:00","36.2"
"","","","2024-07-22 08:00:00","29.1"
