"@GroupName","@Description","@WebsiteURL"
"All","All current network LAs","http://www.erg.kcl.ac.uk/"
"AroundLondon","Selection of boroughs around London","http://www.londonair.org.uk/"
"CambridgeCity","Demo group for tender",""
"Cambridgeshire","Demo group for tender",""
"Essex","All 14 councils in Essex","http://www.essexair.org.uk/"
"Hampshire","Various local authorities in Hampshire","http://www.hantsair.org.uk/"
"Leicester","Leicester Council","http://www.leicester.gov.uk/"
"London","All currently active boroughs of London","http://www.londonair.org.uk/"
"LondonAirApps","A selection of boroughs in and around London to be used by various iPhone/Android/Chrome/Widget apps. Boroughs who are not in LAQN not included but London Mean is (LAID 600)",""
"Sussex","All 13 councils in Sussex","http://www.sussex-air.net/"
"SussexAirApps","A selection of boroughs in and around Sussex to be used by various iPhone/Android/Chrome/Widget apps. LAs who are not in SussexAir not included but Sussex Mean (LAID 601) is",""
"adur","Adur",""
"almbridget","Elmbridge",""
"arun","Arun",""
"barkinganddagenham","Barking and Dagenham",""
"barnet","Barnet",""
"bexley","Bexley",""
"brent","Brent",""
"brentwood","Brentwood",""
"brightonandhove","Brighton and Hove",""
"bromley","Bromley",""
"camden","Camden",""
"castlepoint","Castle Point",""
"chichester","Chichester",""
"cityoflondon","City of London",""
"crawley","Crawley",""
"croydon","Croydon",""
"dacorum","Dacorum",""
"ealing","Ealing",""
"eastbourne","Eastbourne",""
"enfield","Enfield",""
"engie","All Engie's AQMesh's",""
"greenwich","Greenwich",""
"hackney","Hackney",""
"hammersmithandfulham","Hammersmith and Fulham",""
"haringey","Haringey",""
"harrow","Harrow",""
"hastings","Hastings",""
"havering","Havering",""
"hillingdon","Hillingdon",""
"horsham","Horsham",""
"hounslow","Hounslow",""
"islington","Islington",""
"kensingtonandchelsea","Kensington and Chelsea",""
"kingston","Kingston",""
"lambeth","Lambeth",""
"lewes","Lewes",""
"lewisham","Lewisham",""
"merton","Merton",""
"midsussex","Mid Sussex",""
"molevalley","Mole Valley",""
"newham","Newham",""
"redbridge","Redbridge",""
"reigateandbanstead","Reigate and Banstead",""
"richmond","Richmond",""
"rother","Rother",""
"runnymeade","Runnymede",""
"sevenoaks","Sevenoaks",""
"singlela","sub domain test",""
"southwark","Southwark",""
"sutton","Sutton",""
"thurrock","Thurrock",""
"towerhamlets","Tower Hamlets",""
"walthamforest","Waltham Forest",""
"wandsworth","Wandsworth",""
"wealden","Wealden",""
"westminster","Westminster",""
"windsorandmaidenhead","Windsor and Maidenhead",""
"worthing","Worthing",""
