facility_key,facility,location,overlay_status,best_candidate_site,best_candidate_score,best_candidate_class,suggested_action
leeds,Leeds RERF,,validated_existing_overlay,,,,use_validated_overlay
londonecopark,London EcoPark,,validated_existing_overlay,,,,use_validated_overlay
newhaven,Newhaven ERF,,validated_existing_overlay,,,,use_validated_overlay
riverside,Riverside RR ERF,,validated_existing_overlay,,,,use_validated_overlay
runcorn,Runcorn EfW,,validated_existing_overlay,,,,use_validated_overlay
selchp,SELCHP,,validated_existing_overlay,,,,use_validated_overlay
sheffield,Sheffield ERF,,validated_existing_overlay,,,,use_validated_overlay
tyseley,Tyseley EfW,,validated_existing_overlay,,,,use_validated_overlay
eastcroft,Eastcroft EfW,,candidate_overlay_needs_review,Nottingham Centre,100,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
devonport,Devonport Dockyard,,candidate_overlay_needs_review,Plymouth Centre - UKA00360,98,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
crossness,Crossness Sludge Plant,,candidate_overlay_needs_review,Bexley - Slade Green,95,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
marchwood,Marchwood ERF,,candidate_overlay_needs_review,Southampton Centre - UKA00235,95,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
teesside,Teesside EfW,,candidate_overlay_needs_review,Middlesbrough - UKA00220,95,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
coventry,CSWDC Coventry,,candidate_overlay_needs_review,Coventry Allesley - UKA00592,93,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
portsmouth,Portsmouth ERF,,candidate_overlay_needs_review,Portsmouth Background AURN,93,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
stoke,Stoke EfW,,candidate_overlay_needs_review,Stoke-on-Trent Centre - UKA00337,93,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
beddington,Beddington ERF,,candidate_overlay_needs_review,Sutton - Beddington Lane north,87,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
redmosslandfill,Red Moss Landfill,,candidate_overlay_needs_review,Manchester Piccadilly - UKA00248,87,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
bolton,Bolton WtE,,candidate_overlay_needs_review,Glazebury - UKA00170,85,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
lakeside,Lakeside EfW,,candidate_overlay_needs_review,London Hillingdon - UKA00266,85,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
westfield,Westfield Incinerator,,candidate_overlay_needs_review,Charlton Mackrell - UKA00537,85,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
exeter,Exeter ERF,,candidate_overlay_needs_review,Exeter Roadside - UKA00263,81,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
allerton,Allerton Waste Recovery Park,,candidate_overlay_needs_review,Leeds Centre - UKA00222,80,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
fawley,Fawley Incinerator,,candidate_overlay_needs_review,Southampton Centre - UKA00235,80,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
ferrybridgemf2,Ferrybridge MF2,,candidate_overlay_needs_review,Leeds Centre - UKA00222,80,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
glanfordps,Glanford PS,,candidate_overlay_needs_review,Scunthorpe Town - UKA00381,80,high_confidence_official_candidate,review_for_promotion_to_validated_overlay
