facility,facility_key,location,facility_lat,facility_lon,control_site,control_lat,control_lon,query_point_role,query_point_lat,query_point_lon,candidate_source,candidate_status,candidate_review_class,monitoring_site_name,openaq_location_id,monitoring_site_lat,monitoring_site_lon,distance_query_to_monitor_km,pollutants,monitoring_provider_text,provider_class,distance_score,pollutant_score,official_hint_score,source_score,relevance_score,suggested_action,review_note
Allerton Waste Recovery Park,allerton,North Yorkshire,53.97,-1.5,Knaresborough,53.91714985298881,-1.544899424,control,53.91714985298881,-1.544899424,OpenAQ v3 locations,candidate_needs_review,high_confidence_official_candidate,Leeds Centre - UKA00222,2523,53.80377999962352,-1.54647200030493,12.607,co;no2;o3;pm10;pm25;so2,EEA | Unknown Governmental Organization | United Kingdom | Leeds | Europe/London,official_or_governmental_candidate,25,35,15,5,80,review_for_promotion_to_validated_overlay,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allerton Waste Recovery Park,allerton,North Yorkshire,53.97,-1.5,Knaresborough,53.91714985298881,-1.544899424,control,53.91714985298881,-1.544899424,OpenAQ v3 locations,candidate_needs_review,local_or_official_candidate_needs_review,Leeds Headingley Kerbside - UKA00527,1396,53.819971999290644,-1.5763609997630645,11.001,no2;pm10;pm25,EEA | Unknown Governmental Organization | United Kingdom | Leeds | Europe/London,official_or_governmental_candidate,25,27,15,5,72,review_as_local_or_official_overlay_candidate,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allerton Waste Recovery Park,allerton,North Yorkshire,53.97,-1.5,Knaresborough,53.91714985298881,-1.544899424,facility,53.97,-1.5,OpenAQ v3 locations,candidate_needs_review,local_or_official_candidate_needs_review,Leeds Centre - UKA00222,2523,53.80377999962352,-1.54647200030493,18.732,co;no2;o3;pm10;pm25;so2,EEA | Unknown Governmental Organization | United Kingdom | Leeds | Europe/London,official_or_governmental_candidate,14,35,15,5,69,review_as_local_or_official_overlay_candidate,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allerton Waste Recovery Park,allerton,North Yorkshire,53.97,-1.5,Knaresborough,53.91714985298881,-1.544899424,facility,53.97,-1.5,OpenAQ v3 locations,candidate_needs_review,local_or_official_candidate_needs_review,Leeds Headingley Kerbside - UKA00527,1396,53.819971999290644,-1.5763609997630645,17.417,no2;pm10;pm25,EEA | Unknown Governmental Organization | United Kingdom | Leeds | Europe/London,official_or_governmental_candidate,14,27,15,5,61,review_as_local_or_official_overlay_candidate,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allerton Waste Recovery Park,allerton,North Yorkshire,53.97,-1.5,Knaresborough,53.91714985298881,-1.544899424,control,53.91714985298881,-1.544899424,OpenAQ v3 locations,candidate_needs_review,manual_review_low_confidence,Bradford Mayo Avenue,2301,53.771245,-1.759774,21.492,no2,DEFRA | Unknown Governmental Organization | United Kingdom | Bradford | Europe/London,official_or_governmental_candidate,14,10,15,5,44,manual_review_or_find_alternative_source,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allerton Waste Recovery Park,allerton,North Yorkshire,53.97,-1.5,Knaresborough,53.91714985298881,-1.544899424,control,53.91714985298881,-1.544899424,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,SL-AG-001(Bardsey),6247129,53.88994,-1.4395,7.539,pm1;pm25;relativehumidity;temperature;um003,AirGradient | AirGradient | United Kingdom | Europe/London,community_or_uncertain_candidate,32,9,0,0,41,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allerton Waste Recovery Park,allerton,North Yorkshire,53.97,-1.5,Knaresborough,53.91714985298881,-1.544899424,facility,53.97,-1.5,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,SL-AG-001(Bardsey),6247129,53.88994,-1.4395,9.744,pm1;pm25;relativehumidity;temperature;um003,AirGradient | AirGradient | United Kingdom | Europe/London,community_or_uncertain_candidate,32,9,0,0,41,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allerton Waste Recovery Park,allerton,North Yorkshire,53.97,-1.5,Knaresborough,53.91714985298881,-1.544899424,control,53.91714985298881,-1.544899424,OpenAQ v3 locations,candidate_needs_review,manual_review_low_confidence,Dewsbury Ashworth Grove - UKA00654,2659924,53.69310399964839,-1.6371110000712645,25.638,no2,EEA | Unknown Governmental Organization | United Kingdom | Europe/London,official_or_governmental_candidate,4,10,15,5,34,manual_review_or_find_alternative_source,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allerton Waste Recovery Park,allerton,North Yorkshire,53.97,-1.5,Knaresborough,53.91714985298881,-1.544899424,facility,53.97,-1.5,OpenAQ v3 locations,candidate_needs_review,manual_review_low_confidence,Bradford Mayo Avenue,2301,53.771245,-1.759774,27.902,no2,DEFRA | Unknown Governmental Organization | United Kingdom | Bradford | Europe/London,official_or_governmental_candidate,4,10,15,5,34,manual_review_or_find_alternative_source,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allerton Waste Recovery Park,allerton,North Yorkshire,53.97,-1.5,Knaresborough,53.91714985298881,-1.544899424,control,53.91714985298881,-1.544899424,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Dean House,6254734,53.7843,-1.646,16.192,pm1;pm25;relativehumidity;temperature;um003,AirGradient | AirGradient | United Kingdom | Europe/London,community_or_uncertain_candidate,14,9,0,0,23,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allerton Waste Recovery Park,allerton,North Yorkshire,53.97,-1.5,Knaresborough,53.91714985298881,-1.544899424,facility,53.97,-1.5,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Dean House,6254734,53.7843,-1.646,22.759,pm1;pm25;relativehumidity;temperature;um003,AirGradient | AirGradient | United Kingdom | Europe/London,community_or_uncertain_candidate,14,9,0,0,23,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allington Quarry Waste Management Facility,allington,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,facility,51.23,0.5,OpenAQ v3 locations,candidate_needs_review,local_or_official_candidate_needs_review,Chatham Roadside - UKA00553,2560,51.374263999538954,0.5479700002695834,16.384,no2;pm10;pm25,EEA | Unknown Governmental Organization | United Kingdom | Chatham | Europe/London,official_or_governmental_candidate,14,27,15,5,61,review_as_local_or_official_overlay_candidate,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allington Quarry Waste Management Facility,allington,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,control,51.17164159983072,0.4584710510889741,OpenAQ v3 locations,candidate_needs_review,local_or_official_candidate_needs_review,Chatham Roadside - UKA00553,2560,51.374263999538954,0.5479700002695834,23.375,no2;pm10;pm25,EEA | Unknown Governmental Organization | United Kingdom | Chatham | Europe/London,official_or_governmental_candidate,14,27,15,5,61,review_as_local_or_official_overlay_candidate,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allington Quarry Waste Management Facility,allington,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,facility,51.23,0.5,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Sevenoaks - Greatness Park,225781,51.289391,0.201437,21.8,no2;o3;pm10,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Sevenoaks | Europe/London,official_or_governmental_candidate,14,24,15,5,58,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allington Quarry Waste Management Facility,allington,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,control,51.17164159983072,0.4584710510889741,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Sevenoaks - Greatness Park,225781,51.289391,0.201437,22.175,no2;o3;pm10,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Sevenoaks | Europe/London,official_or_governmental_candidate,14,24,15,5,58,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allington Quarry Waste Management Facility,allington,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,facility,51.23,0.5,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,West Farleigh,3123123,51.23649525729965,0.4518779047706621,3.427,pm1;pm10;pm25;relativehumidity;temperature;um003,AirGradient | Tim | United Kingdom | Europe/London,community_or_uncertain_candidate,40,17,0,0,57,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allington Quarry Waste Management Facility,allington,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,facility,51.23,0.5,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Sevenoaks - Bat and Ball,225795,51.2887681443168,0.193420906906318,22.312,no2;pm10,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Sevenoaks | Europe/London,official_or_governmental_candidate,14,18,15,5,52,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allington Quarry Waste Management Facility,allington,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,control,51.17164159983072,0.4584710510889741,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Sevenoaks - Bat and Ball,225795,51.2887681443168,0.193420906906318,22.588,no2;pm10,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Sevenoaks | Europe/London,official_or_governmental_candidate,14,18,15,5,52,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allington Quarry Waste Management Facility,allington,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,facility,51.23,0.5,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Dartford - Bean Lane,1481124,51.4306174423102,0.280976036868921,27.004,no2;pm10;pm25,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Dartford | Europe/London,official_or_governmental_candidate,4,27,15,5,51,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allington Quarry Waste Management Facility,allington,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,control,51.17164159983072,0.4584710510889741,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,West Farleigh,3123123,51.23649525729965,0.4518779047706621,7.226,pm1;pm10;pm25;relativehumidity;temperature;um003,AirGradient | Tim | United Kingdom | Europe/London,community_or_uncertain_candidate,32,17,0,0,49,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allington Quarry Waste Management Facility,allington,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,facility,51.23,0.5,OpenAQ v3 locations,candidate_needs_review,manual_review_low_confidence,Dartford - St Clements 2,225740,51.448823581151,0.279379130223739,28.756,no2;pm10,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Dartford | Europe/London,official_or_governmental_candidate,4,18,15,5,42,manual_review_or_find_alternative_source,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allington Quarry Waste Management Facility,allington,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,facility,51.23,0.5,OpenAQ v3 locations,candidate_needs_review,manual_review_low_confidence,Dartford Roadside 2 - Town Centre,225746,51.4426702340503,0.216185856662181,30.789,no2;pm10,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Dartford | Europe/London,official_or_governmental_candidate,4,18,15,5,42,manual_review_or_find_alternative_source,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allington Quarry Waste Management Facility,allington,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,facility,51.23,0.5,OpenAQ v3 locations,candidate_needs_review,manual_review_low_confidence,Dartford - Town Centre,4990521,51.442557781389,0.215950164318913,30.79,no2;pm10,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Dartford | Europe/London,official_or_governmental_candidate,4,18,15,5,42,manual_review_or_find_alternative_source,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allington Quarry Waste Management Facility,allington,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,facility,51.23,0.5,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Rochester,5451896,51.372348,0.50601,15.834,pm1;pm25;relativehumidity;temperature;um003,AirGradient | AirGradient | United Kingdom | Europe/London,community_or_uncertain_candidate,14,9,0,0,23,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allington Quarry Waste Management Facility,allington,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,control,51.17164159983072,0.4584710510889741,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Rochester,5451896,51.372348,0.50601,22.561,pm1;pm25;relativehumidity;temperature;um003,AirGradient | AirGradient | United Kingdom | Europe/London,community_or_uncertain_candidate,14,9,0,0,23,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allington Quarry Waste Management Facility,allington,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,control,51.17164159983072,0.4584710510889741,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Broomhill Road,223715,51.379382,0.100759,33.952,no;no2;nox,london stationary | Unknown Research Organization | United Kingdom | Europe/London,community_or_uncertain_candidate,4,18,0,0,22,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Allington Quarry Waste Management Facility,allington,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,control,51.17164159983072,0.4584710510889741,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Broomhill Road,223779,51.379382,0.100759,33.952,no;no2;nox,london stationary | Unknown Research Organization | United Kingdom | Europe/London,community_or_uncertain_candidate,4,18,0,0,22,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
