facility,facility_key,location,facility_lat,facility_lon,control_site,control_lat,control_lon,query_point_role,query_point_lat,query_point_lon,candidate_source,candidate_status,candidate_review_class,monitoring_site_name,openaq_location_id,monitoring_site_lat,monitoring_site_lon,distance_query_to_monitor_km,pollutants,monitoring_provider_text,provider_class,distance_score,pollutant_score,official_hint_score,source_score,relevance_score,suggested_action,review_note
Hartlebury EfW,hartlebury,Worcestershire,52.36,-2.27,Ombersley,52.30630369696547,-2.323040252,facility,52.36,-2.27,OpenAQ v3 locations,candidate_needs_review,local_or_official_candidate_needs_review,Oldbury Birmingham Road - UKA00595,406,52.50243599946008,-2.0034969995881116,24.027,no2;pm10;pm25,EEA | Unknown Governmental Organization | United Kingdom | Oldbury | Europe/London,official_or_governmental_candidate,14,27,15,5,61,review_as_local_or_official_overlay_candidate,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Hartlebury EfW,hartlebury,Worcestershire,52.36,-2.27,Ombersley,52.30630369696547,-2.323040252,control,52.30630369696547,-2.323040252,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Oldbury Birmingham Road - UKA00595,406,52.50243599946008,-2.0034969995881116,30.75,no2;pm10;pm25,EEA | Unknown Governmental Organization | United Kingdom | Oldbury | Europe/London,official_or_governmental_candidate,4,27,15,5,51,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Hartlebury EfW,hartlebury,Worcestershire,52.36,-2.27,Ombersley,52.30630369696547,-2.323040252,facility,52.36,-2.27,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Birmingham Ladywood - UKA00655,2659908,52.48134599952562,-1.9182349998038515,27.406,no2;o3;so2,EEA | Unknown Governmental Organization | United Kingdom | Europe/London,official_or_governmental_candidate,4,24,15,5,48,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Hartlebury EfW,hartlebury,Worcestershire,52.36,-2.27,Ombersley,52.30630369696547,-2.323040252,facility,52.36,-2.27,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Birmingham Ladywood - UKA00655,2659909,52.48134599952562,-1.9182349998038515,27.406,no2;o3;so2,EEA | Unknown Governmental Organization | United Kingdom | Europe/London,official_or_governmental_candidate,4,24,15,5,48,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Hartlebury EfW,hartlebury,Worcestershire,52.36,-2.27,Ombersley,52.30630369696547,-2.323040252,facility,52.36,-2.27,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Kinver,1784484,52.450050387751844,-2.238039677661887,10.245,pm1;pm10;pm25;relativehumidity;temperature;um003,AirGradient | Unknown Person | United Kingdom | Europe/London,community_or_uncertain_candidate,25,17,0,0,42,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Hartlebury EfW,hartlebury,Worcestershire,52.36,-2.27,Ombersley,52.30630369696547,-2.323040252,facility,52.36,-2.27,OpenAQ v3 locations,candidate_needs_review,manual_review_low_confidence,West Bromwich Kenrick Park - UKA00658,2659944,52.50833699931375,-1.986008000257209,25.352,no2,EEA | Unknown Governmental Organization | United Kingdom | Europe/London,official_or_governmental_candidate,4,10,15,5,34,manual_review_or_find_alternative_source,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Hartlebury EfW,hartlebury,Worcestershire,52.36,-2.27,Ombersley,52.30630369696547,-2.323040252,facility,52.36,-2.27,OpenAQ v3 locations,candidate_needs_review,manual_review_low_confidence,West Bromwich Kenrick Park - UKA00658,2659945,52.50833699931375,-1.986008000257209,25.352,no2,EEA | Unknown Governmental Organization | United Kingdom | Europe/London,official_or_governmental_candidate,4,10,15,5,34,manual_review_or_find_alternative_source,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Hartlebury EfW,hartlebury,Worcestershire,52.36,-2.27,Ombersley,52.30630369696547,-2.323040252,control,52.30630369696547,-2.323040252,OpenAQ v3 locations,candidate_needs_review,manual_review_low_confidence,West Bromwich Kenrick Park - UKA00658,2659944,52.50833699931375,-1.986008000257209,32.052,no2,EEA | Unknown Governmental Organization | United Kingdom | Europe/London,official_or_governmental_candidate,4,10,15,5,34,manual_review_or_find_alternative_source,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Hartlebury EfW,hartlebury,Worcestershire,52.36,-2.27,Ombersley,52.30630369696547,-2.323040252,control,52.30630369696547,-2.323040252,OpenAQ v3 locations,candidate_needs_review,manual_review_low_confidence,West Bromwich Kenrick Park - UKA00658,2659945,52.50833699931375,-1.986008000257209,32.052,no2,EEA | Unknown Governmental Organization | United Kingdom | Europe/London,official_or_governmental_candidate,4,10,15,5,34,manual_review_or_find_alternative_source,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Hartlebury EfW,hartlebury,Worcestershire,52.36,-2.27,Ombersley,52.30630369696547,-2.323040252,control,52.30630369696547,-2.323040252,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Kinver,1784484,52.450050387751844,-2.238039677661887,16.993,pm1;pm10;pm25;relativehumidity;temperature;um003,AirGradient | Unknown Person | United Kingdom | Europe/London,community_or_uncertain_candidate,14,17,0,0,31,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Hartlebury EfW,hartlebury,Worcestershire,52.36,-2.27,Ombersley,52.30630369696547,-2.323040252,facility,52.36,-2.27,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,West Gate,6051929,52.450876,-1.937146,24.738,pm1;pm25;relativehumidity;temperature;um003,AirGradient | AirGradient | United Kingdom | Europe/London,community_or_uncertain_candidate,14,9,0,0,23,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Hartlebury EfW,hartlebury,Worcestershire,52.36,-2.27,Ombersley,52.30630369696547,-2.323040252,facility,52.36,-2.27,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,West Gate Bridge,6228171,52.450876,-1.937146,24.738,pm1;pm25;relativehumidity;temperature;um003,AirGradient | University of Birmingham | United Kingdom | Europe/London,community_or_uncertain_candidate,14,9,0,0,23,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
