facility_name,overlay_status,facility_key
Allerton Waste Recovery Park,candidate_overlay_needs_review,allerton park
Allington Quarry Waste Management Facility,no_candidate_selected_yet,allington quarry
Ardley ERF,candidate_overlay_needs_review,ardley
Beddington ERF,candidate_overlay_needs_review,beddington
Bolton WtE,candidate_overlay_needs_review,bolton
Chineham EfW,no_candidate_selected_yet,chineham
Cornwall ERC,no_candidate_selected_yet,cornwall erc
Crossness Sludge Plant,candidate_overlay_needs_review,crossness sludge
CSWDC Coventry,candidate_overlay_needs_review,cswdc coventry
Devonport Dockyard,candidate_overlay_needs_review,devonport dockyard
Dudley EfW,no_candidate_selected_yet,dudley
Eastcroft EfW,no_candidate_selected_yet,eastcroft
Exeter ERF,no_candidate_selected_yet,exeter
Fawley Incinerator,no_candidate_selected_yet,fawley
Ferrybridge MF2,no_candidate_selected_yet,ferrybridge mf2
Glanford PS,no_candidate_selected_yet,glanford ps
Gloucestershire Javelin Park,no_candidate_selected_yet,gloucestershire javelin park
Great Blakenham EfW,no_candidate_selected_yet,great blakenham
Greatmoor EfW,no_candidate_selected_yet,greatmoor
Hartlebury EfW,no_candidate_selected_yet,hartlebury
Isle of Man Incinerator,no_candidate_selected_yet,isle of man
Isle of Wight Gasification,no_candidate_selected_yet,isle of wight gasification
Kirklees EfW,no_candidate_selected_yet,kirklees
Lakeside EfW,no_candidate_selected_yet,lakeside
Leeds RERF,validated_existing_overlay,leeds|leeds recycling and|leeds rerf
Lincoln ERF,no_candidate_selected_yet,lincoln
London EcoPark,validated_existing_overlay,ecopark|edmonton ecopark|london eco park|london ecopark
Marchwood ERF,no_candidate_selected_yet,marchwood
Milton Keynes WRP,no_candidate_selected_yet,milton keynes wrp
Newhaven ERF,validated_existing_overlay,bv8067il|newhaven|veolia newhaven
Newlincs EfW,no_candidate_selected_yet,newlincs
North Hykeham Incinerator,no_candidate_selected_yet,north hykeham
Peterborough ERF,no_candidate_selected_yet,peterborough
Portsmouth ERF,no_candidate_selected_yet,portsmouth
Red Moss Landfill,no_candidate_selected_yet,red moss landfill
Riverside RR ERF,validated_existing_overlay,riverside
Runcorn EfW,validated_existing_overlay,runcorn|runcorn from
SELCHP,validated_existing_overlay,london selchp|selchp|south east london combined heat and
Sheffield ERF,validated_existing_overlay,sheffield
Shrewsbury Incinerator,no_candidate_selected_yet,shrewsbury
Stoke EfW,no_candidate_selected_yet,stoke
Teesside EfW,no_candidate_selected_yet,teesside
Thetford Incinerator,no_candidate_selected_yet,thetford
Tyseley EfW,validated_existing_overlay,birmingham tyseley|tyseley
Westfield Incinerator,no_candidate_selected_yet,westfield
Wolverhampton EfW,no_candidate_selected_yet,wolverhampton
