Facility,Location,Lat,Lon,Easting,Northing,Control_Site,Control_Lat,Control_Lon,Control_Easting,Control_Northing,facility_key
Cornwall ERC,Cornwall,50.34,-4.78,202278.8669394324,52593.95048600659,St Columb Road,50.29979236509264,-4.836818679,198065.92917357312,48276.789898975694,cornwall
Isle of Man Incinerator,Isle of Man,54.24,-4.47,239134.10180674717,485517.1094543844,Peel,54.18300750114178,-4.514289539,236022.61272062585,479279.53878207423,isleofman
Peterborough ERF,Peterborough,52.59,-0.24,519325.7828083739,300587.49870064505,Yaxley,52.53404152523351,-0.295573435,515708.36348653934,294273.16089037893,peterborough
Portsmouth ERF,Portsmouth,50.8,-1.06,466340.2734659239,100469.74154212576,Portchester,50.75995290109277,-1.115574836,462477.0960841859,95968.18679713472,portsmouth
Red Moss Landfill,Greater Manchester,53.5,-2.12,392137.3054916896,400373.6756932337,Westhoughton,53.4454823762909,-2.175727388,388425.69141262426,394316.0666022664,redmosslandfill
Shrewsbury Incinerator,Shropshire,52.71,-2.75,349426.6287950069,312745.8364235134,Pontesbury,52.66264719947775,-2.800606348,345949.1276686244,307515.30915715056,shrewsbury
Stoke EfW,Stoke-on-Trent,53.0,-2.18,388017.0174767252,344757.2711573075,Barlaston,52.94116578444151,-2.237964046,384105.19607430085,338223.6502420933,stoke
Teesside EfW,Billingham,54.6,-1.26,447905.34142229,523009.5988179796,Stockton,54.5428758,-1.303836096,445136.2829547061,516624.3695707278,teesside
Thetford Incinerator,Norfolk,52.42,0.75,587101.2752421265,283780.18795485934,Brandon,52.36508933633796,0.7074512638157442,584437.1822124074,277564.75985180977,thetford
Westfield Incinerator,Somerset,51.14,-2.76,346927.0091774473,138133.8416667526,Shepton Mallet,51.08874752042375,-2.808241669,343489.4670980752,132470.1923723028,westfield
