Facility,Location,Lat,Lon,Easting,Northing,Control_Site,Control_Lat,Control_Lon,Control_Easting,Control_Northing,facility_key
Hartlebury EfW,Worcestershire,52.36,-2.27,381709.85786544246,273583.48169818264,Ombersley,52.30630369696547,-2.323040252,378071.1242208893,267625.5503591412,hartlebury
Isle of Man Incinerator,Isle of Man,54.24,-4.47,239134.10180674717,485517.1094543844,Peel,54.18300750114178,-4.514289539,236022.61272062585,479279.53878207423,isleofman
Isle of Wight Gasification,Isle of Wight,50.7,-1.28,450944.7410216836,89175.69142004603,Calbourne,50.64825093318034,-1.337914741,446906.0951170309,83383.06932550418,isleofwight
Kirklees EfW,Huddersfield,53.64,-1.8,413320.6403640636,415961.2871655653,Meltham,53.59280444,-1.840956726,410624.4743150474,410703.6519276573,kirklees
Lakeside EfW,Colnbrook,51.51,-0.54,501417.5687321068,180018.1072,Horton,51.45706067755228,-0.593239815,497836.1068440561,174058.4431179486,lakeside
Lincoln ERF,Lincolnshire,53.23,-0.54,497556.8978818639,371323.33592826553,North Hykeham,53.189145280586594,-0.587061432,494505.3357745779,366715.590371654,lincoln
Marchwood ERF,Hampshire,50.88,-1.42,440900.68817669136,109105.26229841076,Hythe,50.82468261920184,-1.476364095,436978.9484025871,102924.17351685428,marchwood
Milton Keynes WRP,Milton Keynes,52.04,-0.75,485834.3980404377,238692.6586563176,Woburn Sands,51.99400431876248,-0.802347029,482328.3193599474,233516.53171563387,miltonkeyneswrp
Newlincs EfW,Grimsby,53.55,-0.07,527965.2327582871,407661.7986247617,Waltham,53.509896570815,-0.110490383,525401.2542937329,403128.8695486467,newlincs
North Hykeham Incinerator,Lincolnshire,53.18,-0.67,488982.8403153129,365592.0729529112,Eagle,53.13758581631578,-0.710038017,486392.1880511532,360824.9428824157,northhykeham
Peterborough ERF,Peterborough,52.59,-0.24,519325.7828083739,300587.49870064505,Yaxley,52.53404152523351,-0.295573435,515708.36348653934,294273.16089037893,peterborough
Portsmouth ERF,Portsmouth,50.8,-1.06,466340.2734659239,100469.74154212576,Portchester,50.75995290109277,-1.115574836,462477.0960841859,95968.18679713472,portsmouth
Red Moss Landfill,Greater Manchester,53.5,-2.12,392137.3054916896,400373.6756932337,Westhoughton,53.4454823762909,-2.175727388,388425.69141262426,394316.0666022664,redmosslandfill
Shrewsbury Incinerator,Shropshire,52.71,-2.75,349426.6287950069,312745.8364235134,Pontesbury,52.66264719947775,-2.800606348,345949.1276686244,307515.30915715056,shrewsbury
Stoke EfW,Stoke-on-Trent,53.0,-2.18,388017.0174767252,344757.2711573075,Barlaston,52.94116578444151,-2.237964046,384105.19607430085,338223.6502420933,stoke
Teesside EfW,Billingham,54.6,-1.26,447905.34142229,523009.5988179796,Stockton,54.5428758,-1.303836096,445136.2829547061,516624.3695707278,teesside
Thetford Incinerator,Norfolk,52.42,0.75,587101.2752421265,283780.18795485934,Brandon,52.36508933633796,0.7074512638157442,584437.1822124074,277564.75985180977,thetford
Westfield Incinerator,Somerset,51.14,-2.76,346927.0091774473,138133.8416667526,Shepton Mallet,51.08874752042375,-2.808241669,343489.4670980752,132470.1923723028,westfield
Wolverhampton EfW,Wolverhampton,52.59,-2.12,391967.5063569004,299139.9805,Wombourne,52.53488115081242,-2.164738856,388922.5940015025,293014.73662632034,wolverhampton
