facility_name,facility_key,operator,control_name,query_role,candidate_location_id,candidate_location_name,candidate_provider,candidate_latitude,candidate_longitude,distance_from_query_km,distance_from_facility_km,distance_from_control_km,pollutants,score,candidate_class,review_status,source_layer,query_method
Allerton Waste Recovery Park,allerton_waste_recovery_park,,Knaresborough,control,1396,Leeds Headingley Kerbside - UKA00527,,53.819971999290644,-1.5763609997630645,,,,,42,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Allerton Waste Recovery Park,allerton_waste_recovery_park,,Knaresborough,control,2523,Leeds Centre - UKA00222,,53.80377999962352,-1.54647200030493,,,,,42,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Ardley ERF,ardley,,Bicester,control,2318,Oxford Centre Roadside,,51.751745,-1.257463,,,,,42,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Ardley ERF,ardley,,Bicester,control,2469,Oxford St Ebbes,,51.744806000000004,-1.260278,,,,,42,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Beddington ERF,beddington,,Ewell,facility,225792,Sutton - Beddington Village,,51.3712010773161,-0.131948824988095,,,,,62,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Beddington ERF,beddington,,Ewell,facility,225845,Sutton - Wallington,,51.3586596124998,-0.149723946604927,,,,,62,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Beddington ERF,beddington,,Ewell,facility,225734,Croydon - Purley Way A23,,51.3622305655403,-0.117604507351392,,,,,56,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Beddington ERF,beddington,,Ewell,facility,225775,Merton - Morden Civic Centre 2,,51.40162,-0.19589212,,,,,56,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Beddington ERF,beddington,,Ewell,facility,225832,Sutton - Beddington Lane north,,51.38928690450499,-0.141661524779893,,,,,56,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
Beddington ERF,beddington,,Ewell,control,225734,Croydon - Purley Way A23,,51.3622305655403,-0.117604507351392,,,,,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
