facility_name,control_name,query_role,query_method,coordinate_source,candidate_location_id,candidate_location_name,candidate_latitude,candidate_longitude,provider,pollutants,all_parameters,distance_to_facility_km,distance_to_query_km,score,candidate_class,review_status,source_layer
Allerton Waste Recovery Park,Knaresborough,control,coordinates_lat_lon_radius_capped,lat_lon_columns,1396,Leeds Headingley Kerbside - UKA00527,53.819971999290644,-1.5763609997630645,70 EEA 4 Unknown Governmental Organization,,no2 µg/m³;pm10 µg/m³;pm25 µg/m³,17.417,11.001,42,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Allerton Waste Recovery Park,Knaresborough,control,coordinates_lat_lon_radius_capped,lat_lon_columns,2523,Leeds Centre - UKA00222,53.80377999962352,-1.54647200030493,70 EEA 4 Unknown Governmental Organization,,co µg/m³;no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³;so2 µg/m³,18.732,12.607,42,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Ardley ERF,Bicester,control,coordinates_lat_lon_radius_capped,lat_lon_columns,2318,Oxford Centre Roadside,51.751745,-1.257463,169 DEFRA 4 Unknown Governmental Organization,,no2 µg/m³,16.558,11.641,42,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Ardley ERF,Bicester,control,coordinates_lat_lon_radius_capped,lat_lon_columns,2469,Oxford St Ebbes,51.744806000000004,-1.260278,169 DEFRA 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³,17.310,12.273,42,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,facility,coordinates_lat_lon_radius_capped,lat_lon_columns,156,London Teddington,51.42099,-0.339647,169 DEFRA 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³,13.585,13.585,39,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,facility,coordinates_lat_lon_radius_capped,lat_lon_columns,158,London Teddington Bushy Park - UKA00572,51.425285999344624,-0.3456059996846904,70 EEA 4 Unknown Governmental Organization,,pm10 µg/m³;pm25 µg/m³,14.183,14.183,39,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,223803,Robin Hood Health Centre,51.362842,-0.196908,137 london stationary 5 Unknown Research Organization,,no µg/m³;no2 ppm;nox µg/m³;pm25 µg/m³,1.895,1.895,40,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,225709,Croydon - Norbury,51.411349,-0.12311,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 ppb;no2 µg/m³,6.572,6.572,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,225734,Croydon - Purley Way A23,51.3622305655403,-0.117604507351392,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 ppb;no2 µg/m³,3.646,3.646,56,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,225764,Kingston Upon Thames - Tolworth Broadway,51.379312,-0.281259,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;pm10 µg/m³;pm25 µg/m³,8.016,8.016,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,225773,Merton - Merton Road,51.4161384794862,-0.192230805042824,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 ppb;no2 µg/m³;pm10 µg/m³;pm25 µg/m³,6.430,6.430,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,225775,Merton - Morden Civic Centre 2,51.40162,-0.19589212,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 ppb;no2 µg/m³,4.965,4.965,56,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,225785,Reigate and Banstead - A23 Hooley,51.2924706381269,-0.154121454400678,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³,7.590,7.590,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,225786,Lambeth - Streatham Green,51.4282131429499,-0.13186863879576,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 ppb;no2 µg/m³;pm10 µg/m³,8.033,8.033,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,225792,Sutton - Beddington Village,51.3712010773161,-0.131948824988095,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;pm10 µg/m³,2.921,2.921,62,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,225824,Croydon - Norbury Manor,51.410039,-0.127523,205 London Air Quality Network 4 Unknown Governmental Organization,,pm25 µg/m³,6.297,6.297,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,225832,Sutton - Beddington Lane north,51.38928690450499,-0.141661524779893,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;pm10 µg/m³;pm25 µg/m³,3.805,3.805,56,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,225837,Sutton - Worcester Park,51.377923,-0.240414,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;pm10 µg/m³,5.279,5.279,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,225845,Sutton - Wallington,51.3586596124998,-0.149723946604927,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;pm10 µg/m³,1.416,1.416,62,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,225850,Wandsworth - Tooting High Street,51.429331,-0.166524,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 ppb;no2 µg/m³;pm10 µg/m³;pm25 µg/m³,7.713,7.713,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,3907049,Merton - Plough Lane Wimbledon,51.4304273690564,-0.185811823620255,205 London Air Quality Network 4 Unknown Governmental Organization,,pm10 µg/m³;pm25 µg/m³,7.908,7.908,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,4010224,Merton - Mitcham,51.4055473441872,-0.164596893540707,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;pm25 µg/m³,5.079,5.079,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,control,coordinates_lat_lon_radius_capped,lat_lon_columns,156,London Teddington,51.42099,-0.339647,169 DEFRA 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³,13.585,14.373,42,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,control,coordinates_lat_lon_radius_capped,lat_lon_columns,225709,Croydon - Norbury,51.411349,-0.12311,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 ppb;no2 µg/m³,6.572,12.963,42,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,control,coordinates_lat_lon_radius_capped,lat_lon_columns,225734,Croydon - Purley Way A23,51.3622305655403,-0.117604507351392,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 ppb;no2 µg/m³,3.646,9.199,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,control,coordinates_lat_lon_radius_10000,lat_lon_columns,225764,Kingston Upon Thames - Tolworth Broadway,51.379312,-0.281259,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;pm10 µg/m³;pm25 µg/m³,8.016,8.307,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,control,coordinates_lat_lon_radius_10000,lat_lon_columns,225785,Reigate and Banstead - A23 Hooley,51.2924706381269,-0.154121454400678,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³,7.590,5.431,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,control,coordinates_lat_lon_radius_10000,lat_lon_columns,225792,Sutton - Beddington Village,51.3712010773161,-0.131948824988095,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;pm10 µg/m³,2.921,9.088,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,control,coordinates_lat_lon_radius_10000,lat_lon_columns,225837,Sutton - Worcester Park,51.377923,-0.240414,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;pm10 µg/m³,5.279,7.246,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,control,coordinates_lat_lon_radius_10000,lat_lon_columns,225845,Sutton - Wallington,51.3586596124998,-0.149723946604927,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;pm10 µg/m³,1.416,7.231,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Bolton WtE,Horwich,facility,coordinates_lat_lon_radius_capped,lat_lon_columns,718,Salford Eccles,53.48481,-2.334139,169 DEFRA 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³,12.336,12.336,39,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
