facility,facility_key,location,facility_lat,facility_lon,control_site,control_lat,control_lon,query_point_role,query_point_lat,query_point_lon,candidate_source,candidate_status,candidate_review_class,monitoring_site_name,openaq_location_id,monitoring_site_lat,monitoring_site_lon,distance_query_to_monitor_km,pollutants,monitoring_provider_text,provider_class,distance_score,pollutant_score,official_hint_score,source_score,relevance_score,suggested_action,review_note
Hartlebury EfW,hartlebury,Worcestershire,52.36,-2.27,Ombersley,52.30630369696547,-2.323040252,facility,52.36,-2.27,OpenAQ v3 locations,candidate_needs_review,local_or_official_candidate_needs_review,Oldbury Birmingham Road - UKA00595,406,52.50243599946008,-2.0034969995881116,24.027,no2;pm10;pm25,EEA | Unknown Governmental Organization | United Kingdom | Oldbury | Europe/London,official_or_governmental_candidate,14,27,15,5,61,review_as_local_or_official_overlay_candidate,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Hartlebury EfW,hartlebury,Worcestershire,52.36,-2.27,Ombersley,52.30630369696547,-2.323040252,control,52.30630369696547,-2.323040252,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Oldbury Birmingham Road - UKA00595,406,52.50243599946008,-2.0034969995881116,30.75,no2;pm10;pm25,EEA | Unknown Governmental Organization | United Kingdom | Oldbury | Europe/London,official_or_governmental_candidate,4,27,15,5,51,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Hartlebury EfW,hartlebury,Worcestershire,52.36,-2.27,Ombersley,52.30630369696547,-2.323040252,facility,52.36,-2.27,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Birmingham Ladywood - UKA00655,2659908,52.48134599952562,-1.9182349998038515,27.406,no2;o3;so2,EEA | Unknown Governmental Organization | United Kingdom | Europe/London,official_or_governmental_candidate,4,24,15,5,48,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Hartlebury EfW,hartlebury,Worcestershire,52.36,-2.27,Ombersley,52.30630369696547,-2.323040252,facility,52.36,-2.27,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Birmingham Ladywood - UKA00655,2659909,52.48134599952562,-1.9182349998038515,27.406,no2;o3;so2,EEA | Unknown Governmental Organization | United Kingdom | Europe/London,official_or_governmental_candidate,4,24,15,5,48,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Hartlebury EfW,hartlebury,Worcestershire,52.36,-2.27,Ombersley,52.30630369696547,-2.323040252,facility,52.36,-2.27,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Kinver,1784484,52.450050387751844,-2.238039677661887,10.245,pm1;pm10;pm25;relativehumidity;temperature;um003,AirGradient | Unknown Person | United Kingdom | Europe/London,community_or_uncertain_candidate,25,17,0,0,42,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Isle of Wight Gasification,isleofwight,Isle of Wight,50.7,-1.28,Calbourne,50.64825093318034,-1.337914741,facility,50.7,-1.28,OpenAQ v3 locations,candidate_needs_review,local_or_official_candidate_needs_review,Southampton Centre - UKA00235,698,50.90813999934531,-1.3957779998162605,24.533,no2;o3;pm10;pm25;so2,EEA | Unknown Governmental Organization | United Kingdom | Southampton | Europe/London,official_or_governmental_candidate,14,35,15,5,69,review_as_local_or_official_overlay_candidate,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Isle of Wight Gasification,isleofwight,Isle of Wight,50.7,-1.28,Calbourne,50.64825093318034,-1.337914741,facility,50.7,-1.28,OpenAQ v3 locations,candidate_needs_review,local_or_official_candidate_needs_review,Portsmouth Background AURN,226345,50.8282053073682,-1.06994447818715,20.53,no2;o3;pm10;pm25,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Hampshire | Europe/London,official_or_governmental_candidate,14,33,15,5,67,review_as_local_or_official_overlay_candidate,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Isle of Wight Gasification,isleofwight,Isle of Wight,50.7,-1.28,Calbourne,50.64825093318034,-1.337914741,facility,50.7,-1.28,OpenAQ v3 locations,candidate_needs_review,local_or_official_candidate_needs_review,Portsmouth - UKA00421,2526,50.828809999288616,-1.0685829997273733,20.646,no2;o3;pm10;pm25,EEA | Unknown Governmental Organization | United Kingdom | Portsmouth | Europe/London,official_or_governmental_candidate,14,33,15,5,67,review_as_local_or_official_overlay_candidate,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Isle of Wight Gasification,isleofwight,Isle of Wight,50.7,-1.28,Calbourne,50.64825093318034,-1.337914741,control,50.64825093318034,-1.337914741,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Portsmouth Background AURN,226345,50.8282053073682,-1.06994447818715,27.496,no2;o3;pm10;pm25,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Hampshire | Europe/London,official_or_governmental_candidate,4,33,15,5,57,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Isle of Wight Gasification,isleofwight,Isle of Wight,50.7,-1.28,Calbourne,50.64825093318034,-1.337914741,control,50.64825093318034,-1.337914741,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Portsmouth - UKA00421,2526,50.828809999288616,-1.0685829997273733,27.61,no2;o3;pm10;pm25,EEA | Unknown Governmental Organization | United Kingdom | Portsmouth | Europe/London,official_or_governmental_candidate,4,33,15,5,57,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Isle of Wight Gasification,isleofwight,Isle of Wight,50.7,-1.28,Calbourne,50.64825093318034,-1.337914741,facility,50.7,-1.28,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Portsmouth Anglesea Road - UKA00651,2659938,50.79833899930249,-1.0955580000494325,16.969,no2;pm10,EEA | Unknown Governmental Organization | United Kingdom | Europe/London,official_or_governmental_candidate,14,18,15,5,52,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
