source,path,name,suffix,size_bytes,evidence_type,public_safe
repo,site_public/data/source_records_latest.json,source_records_latest.json,.json,67616,evidence,yes
repo,site_public/data/moving_banners_status.json,moving_banners_status.json,.json,1002,evidence,yes
repo,site_public/data/latest_live_summary.json,latest_live_summary.json,.json,1780,evidence,yes
repo,site_public/data/latest_summary.json,latest_summary.json,.json,1779,evidence,yes
repo,site_public/data/latest_backfill_summary.json,latest_backfill_summary.json,.json,3770,evidence,yes
repo,site_public/data/weekly_index.json,weekly_index.json,.json,152368,evidence,yes
repo,site_public/data/science_validation_latest.json,science_validation_latest.json,.json,12940,evidence,yes
repo,site_public/data/weekly/brand_asset_status.json,brand_asset_status.json,.json,285,evidence,yes
repo,site_public/data/weekly/final_brand_polish_summary.json,final_brand_polish_summary.json,.json,2074,evidence,yes
repo,site_public/data/weekly/favicon_enforcement_status.json,favicon_enforcement_status.json,.json,2458,evidence,yes
repo,site_public/data/weekly/latest_alert.json,latest_alert.json,.json,936,evidence,yes
repo,site_public/data/weekly/backfill_status.json,backfill_status.json,.json,149,evidence,yes
repo,site_public/data/weekly/focused_backfill_status.json,focused_backfill_status.json,.json,1079,evidence,yes
repo,site_public/data/weekly/count_stat_card_final_fix_status.json,count_stat_card_final_fix_status.json,.json,285,evidence,yes
repo,site_public/data/weekly/webm_banner_status.json,webm_banner_status.json,.json,907,evidence,yes
repo,site_public/data/weekly/public_sanity_fix_status.json,public_sanity_fix_status.json,.json,3821,evidence,yes
repo,site_public/data/weekly/weekly_alert_build_status.json,weekly_alert_build_status.json,.json,446,evidence,yes
repo,site_public/data/backfill/incinerators/focused_backfill_summary.json,focused_backfill_summary.json,.json,1054,evidence,yes
repo,site_public/data/backfill/incinerators/facility_backfill_readiness.csv,facility_backfill_readiness.csv,.csv,3258,evidence,yes
repo,site_public/data/backfill/incinerators/charts/candidate_score_bands.json,candidate_score_bands.json,.json,80,evidence,yes
repo,site_public/data/backfill/incinerators/charts/overlay_status_chart.json,overlay_status_chart.json,.json,111,evidence,yes
repo,site_public/data/backfill/incinerators/charts/backfill_scope_summary.json,backfill_scope_summary.json,.json,1054,evidence,yes
repo,site_public/data/public_dashboard/header_branding_status.json,header_branding_status.json,.json,1325,evidence,yes
repo,site_public/data/public_dashboard/motion_polish_status.json,motion_polish_status.json,.json,120,evidence,yes
repo,site_public/data/public_dashboard/consistent_rebuild_summary.json,consistent_rebuild_summary.json,.json,120,evidence,yes
repo,site_public/data/public_dashboard/polish_status.json,polish_status.json,.json,519,evidence,yes
repo,site_public/data/history/week_2024-08-05_2024-08-12.json,week_2024-08-05_2024-08-12.json,.json,3375,evidence,yes
repo,site_public/data/history/week_2024-08-26_2024-09-02.json,week_2024-08-26_2024-09-02.json,.json,3589,evidence,yes
repo,site_public/data/history/week_2024-07-22_2024-07-29.json,week_2024-07-22_2024-07-29.json,.json,3375,evidence,yes
repo,site_public/data/history/week_2024-09-23_2024-09-30.json,week_2024-09-23_2024-09-30.json,.json,3589,evidence,yes
repo,site_public/data/history/week_2024-11-04_2024-11-11.json,week_2024-11-04_2024-11-11.json,.json,3634,evidence,yes
repo,site_public/data/history/week_2026-05-04_2026-05-11.json,week_2026-05-04_2026-05-11.json,.json,995,evidence,yes
repo,site_public/data/history/week_2024-07-01_2024-07-08.json,week_2024-07-01_2024-07-08.json,.json,995,evidence,yes
repo,site_public/data/history/week_2024-06-24_2024-07-01.json,week_2024-06-24_2024-07-01.json,.json,995,evidence,yes
repo,site_public/data/history/week_2024-09-16_2024-09-23.json,week_2024-09-16_2024-09-23.json,.json,3634,evidence,yes
repo,site_public/data/history/week_2024-06-10_2024-06-17.json,week_2024-06-10_2024-06-17.json,.json,990,evidence,yes
repo,site_public/data/history/week_2024-10-21_2024-10-28.json,week_2024-10-21_2024-10-28.json,.json,3634,evidence,yes
repo,site_public/data/history/week_2024-10-07_2024-10-14.json,week_2024-10-07_2024-10-14.json,.json,3634,evidence,yes
repo,site_public/data/history/week_2026-05-18_2026-05-25.json,week_2026-05-18_2026-05-25.json,.json,994,evidence,yes
repo,site_public/data/history/week_2024-05-27_2024-06-03.json,week_2024-05-27_2024-06-03.json,.json,990,evidence,yes
repo,site_public/data/history/week_2024-07-29_2024-08-05.json,week_2024-07-29_2024-08-05.json,.json,3375,evidence,yes
repo,site_public/data/history/week_2026-05-11_2026-05-18.json,week_2026-05-11_2026-05-18.json,.json,995,evidence,yes
repo,site_public/data/history/week_2024-09-02_2024-09-09.json,week_2024-09-02_2024-09-09.json,.json,3589,evidence,yes
